Player,Pos'n,Age 7/1/23,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,Opt Out,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details
"Vogt, Stephen",c,38.242,,OAK,retired,,,2023,,,,All Bases Covered,,,
,,,,,,,,,,,,,,,
Remaining Free Agents,,,,,,,,,,,,,,,
"Bradley, Archie",rhp,30.325,,ANA,,,,2023,,,,BBI Spts,,,
"Chirinos, Robinson",c,39.027,,BAL,,,,2023,,,,MDR Spts,,,
"Minor, Mike",lhp,35.187,,CIN,,,,2023,,,,Jet Spts,,,
"Archer, Chris",rhp-s,34.278,,MIN,,,,2023,,,,VC Spts,,,
"Sanchez, Gary",c,30.211,,MIN,,,,2023,,,,MAS+,,,
"Sanó, Miguel",1b-dh,30.051,,MIN,,,,2023,,,,Cobb Eddy,,,
"Britton, Zack",lhp,35.191,,NYA,,,,2023,,,,Boras Corp.,,,
"Knebel, Corey",rhp,31.217,,PHI,,,,2023,,,,Excel,,,
"Harris, Will",rhp,38.307,,WAS,,,,2023,,,,Gavin Kahn,,,
"Sanchez, Anibal",rhp-s,39.124,,WAS,,,,2023,,,,Mato Spots,,,
